Serial No,Event Date,Abstract Text,Nature of Injury
861,2/17/2017,"At approximately 7:00 a.m. on February 17, 2017, an employee was called to job site to check on a tree that had fallen onto a maintenance shop. The employee happened to park exactly where another tree fell as he arrived at the maintenance shop. The second tree crushed the cab of the truck exactly where he was sitting in the driver's seat. The employee was crushed and killed inside of the cab of the truck. ",Serious Fall/Strike
862,2/17/2017,"At 7:15 a.m. on February 17, 2017, an employee fell from a second story window, sustaining a broken pelvis. The employee was hospitalized for treatment of his jury. Further investigation as to the cause of the incident revealed that a guardrail blocking the opening of the window the employee fell from had failed. ","Fracture, Broken Bones"
863,2/17/2017,"At approximately 7:36 a.m. on February 17, 2017, an employee crushed his thumb while working with a press brake. The employee was hospitalized and treated for fractured thumb.	 ","Fracture, Broken Bones"
864,2/17/2017,"At approximately 7:00 a.m. on February 17, 2017, an employee plugged in the conveyor unit and turned on the power. It was getting a test run before putting the guards in place to make sure all the rollers were in line and the tension was correct on the chains and sprockets. The employee noticed that one of the chains tension was loose and put his finger on the chain to check. When the employee checked the tension of the chain with his finger it was pulled into the sprocket resulting in a fingertip amputation. The employee was hospitalized and treated for his injuries ","Amputation, Crushing"
865,2/17/2017,"At 5:15 a.m. on February 17, 2017, an employee was standing nearby an energized line.  The employee touched the energized line and was electrocuted. ",Electrocution
866,2/17/2017,"At 5:16 a.m. on February 17, 2017, and employee was working alone to repair Elevator #17.  The elevator carriage crushed the employee. ",Serious Fall/Strike
867,2/17/2017,"At approximately 4:30 p.m. on February 17, 2017, an employee was performing supervisory duties while the mechanics and operator were settings the Paper Converter Machine, Rewinder Machine. The employee accidentally put his right hands finger at the guide rollers while the mechanic moved it manually in order to detect a fail with the transfer process.  The employees right hand finger was caught in a pinch point between two guide paper rollers of the rewinder machine and was amputated. The employee was hospitalized and treated for his injuries. ","Amputation, Crushing"
868,2/17/2017,"At approximately 2:30 a.m. on February 17, 2017, an employee was removing product from  a hydraulic press. When reaching into the point of operation to remove the product (rubber car mat), one of the die plates smashed the employee's fingers. The employees finger was amputated but he was not hospitalized. ","Amputation, Crushing"
869,2/17/2017,"At approximately 1:00 p.m. on February 17, 2017, an employee was gluing cabinet doors in a pinch machine. The employees left index finger was amputated by rollers. The employee was hospitalized and treated for his injuries.	 ","Amputation, Crushing"
870,2/17/2017,"At approximately 1:30 p.m. on February 17, 2017, an employee was operating Kubota Tractor Model Number MB8540) with attached brush trimmer. The Kubota tractor ran over employee resulting in broken nose, laceration to left eye and left side of his face. The employee was hospitalized and treated for his injuries.	 ","Fracture, Broken Bones"
871,2/16/2017,"At approximately 12:45 p.m. on February 16, 2017, an employee was installing wiring for a power extension. He fell through the skylight and struck concrete approximately 30 feet below. The employee suffered multiple fractures and contusions. He was hospitalized and treated for his injuries. ","Fracture, Broken Bones"
872,2/16/2017,"At approximately 11:28 a.m. on February 16, 2017, an employee was performing his duties as a spotter/ inspector and was walking behind a Kawasaki front end Loader, Serial Number VG7N38 that was loading trash into trailers that were parked in the middle of the recycling yard. The loader operator scooped a load of trash and began to back and turn the loader toward the dump trailer. The operator was unaware of the employee's presence which was behind and to the right of Kawasaki loader. The employee was knocked to the ground, ran over and then crushed to death by the right rear tire of the Kawasaki Front end loader. ",Serious Fall/Strike
873,2/16/2017,"At 11:45 a.m. on February 16, 2017, an employee was topping a tree using a chain saw.  The employee was pulled into the tree by his lanyard when the tree split.  The employee was hospitalized and treated for his injuries. ",Serious Fall/Strike
874,2/16/2017,"At approximately 10:00 p.m. on February 16, 2017, an employee was working from a 4 foot tall ladder while resetting a door. He lost his balance, fell backward, and hit his head. He suffered from strained back and lacerated elbow. Initially the employee was released back to work on light duty. However, over the weekend of February 17 - 19, the employer was informed that the employee had been admitted to the hospital related to the incident. He was believed to have a subdural hematoma and was in intensive care unit. ",Laceration
875,2/16/2017,"At 9:00 a.m. on February 16, 2017, an employee was turning a master valve on a gas wellhead when it exploded and threw the employee a distance away.  The employees pants caught on fire during the wellhead explosion and suffered third degree burns to both legs. The employee was hospitalized and treated for his injuries. ",Fire Burn
876,2/16/2017,"At 9:00 a.m. on February 16, 2017, an employee was assisting in the maintenance of plant equipment.The employee suffered a respiratory illness when chlorine dioxide vapors were released. dioxide vapors were released.",Serious Fall/Strike
877,2/16/2017,"At approximately 9:00 p.m. on February 16, 2017, an employee was operating a stand-up forklift moving pallets of product from one area to another. He was operating the stand-up forklift with his foot hanging off the edge of the equipment.  While operating the stand-up forklift in the reverse position, the employee backed into a parked forklift, crushing his foot in between the two forklifts. The employee suffered a fractured left foot and was hospitalized.	 hospitalized.	 ","Fracture, Broken Bones"
878,2/16/2017,"At 9:00 a.m. on February 16, 2017, an employee was closing the cover of a washer when a small cloud of chlorine dioxide was released.  The employee inhaled some of the vapor.  The employee began coughing and experienced shortness of breath.  The employee and thirteen other employees were taken to a local hospital and evaluated for exposure to chlorine dioxide vapors. ",Serious Fall/Strike
879,2/16/2017,"At 9:45 a.m. on February 16, 2017, three employees were changing out a TMI bubbler in an enclosed cabinet of an OE Reactor.  Employee #1 reached in to turn off a valve that he thought may be partially open when an explosion had occurred.  Employee #1 suffered a laceration to his artery on the right wrist and hand, a broken right middle finger, a deep laceration to right leg, loss of skin to leg, and approximately six burns to left arm.  Employee #2 suffered from ears ringing.  Employee #3 fractured their left index finger, lacerated their arm, and had ringing in their ears. ",Laceration
880,2/16/2017,"At 9:30 a.m. on February 16, 2017, an employee was working on a ladder jack scaffold platform located greater than 7 1/2 feet above ground.  The employee fell and struck his head on the ground and was killed due to traumatic head injuries. ",Serious Fall/Strike
881,2/16/2017,"At 8:00 am on February 16, 2017, three employees were working in the upper area of the Parkrose Hardware Store.  All three employees intermittently experienced symptoms of dizziness, burning noses, and headaches.  The same symptoms occurred the next day as well and they closed the office and turned off the heating system.  The business replaced the heat exchanger as a precautionary measure and reopened the office.  No further symptoms or problems have been experienced and normal work has resumed in the office loft. One of the employees went to the hospital and was found to have elevated levels of carbon monoxide in her blood. ",Serious Fall/Strike
882,2/16/2017,"At 7:30 a.m. on February 16, 2017, three employees were working at a jobsite when a windstorm erupted. One employee, who was exiting a portable restroom, was struck by a flying piece of plywood and sustained a concussion. A second employee, who also sustained a concussion, was struck by a 4 foot by 4 foot square piece of roofing insulation. A third employee, who was struck by a 3/8 inch piece of plywood that measured approximately 69 inches by 43 inches, also suffered a concussion.  However, only one of the three employees was hospitalized. ",Head Trauma
883,2/16/2017,"At 7:00 a.m. on February 16, 2017, an employee was pulling a plastic sheet, guiding it through an extruder.  The employee's right hand got caught in the running nip point of the extrusion winder and scraped his right middle fingertip.  The employee was not hospitalized. ","Bruising, Contusion"
884,2/16/2017,"At approximately 6:30 p.m. on February 16, 2017, an employee was inserting a drum pump into the bung hole of a drum. The employee contacted the end of the drum pump with the drum causing his right hand to slide down the drum pump. The employee contacted the exposed impeller that was still running with his right pinkie finger, causing a fingertip amputation. ","Amputation, Crushing"
885,2/16/2017,"At approximately 5:00 a.m. on February 16, 2017, an employee was found unresponsive next to his work vehicle. Cardiopulmonary resuscitation was performed and he was transported to Memorial hospital in Yakima.  Due to the type of injury, the employee was airlifted to Harborview, where he died the following day. This incident was not been reported by the employer. ","Fracture, Broken Bones"
886,2/16/2017,"At approximately 5:00 p.m. on February 16, 2017, an employee was dismantling a carport for removal and installation at another location. The employee fell over 12 feet to the concrete floor, injuring his head and neck. The employee was killed.	 ","Fracture, Broken Bones"
887,2/16/2017,"At approximately 4:00 p.m. on February 16, 2017, an employee was leaning against the door with the hand on the frame. The employee closed the door without removing his hand from the door frame. The employee's pinky finger got pinned in the door's frame and it shut causing the amputation. The employee was hospitalized and treated for his injuries. ","Amputation, Crushing"
888,2/16/2017,"At approximately 3:24 p.m. on February 16, 2016, an employee and two coworkers were engaged in cutting down a tree. The tree fell and landed on the employee, crushing and killing him. ","Asphyxiation, Drowning"
889,2/16/2017,"At approximately 3:05 p.m. on February 16, 2017, an employee was walking across the floor. The employees foot got caught in a hole in the floor and he tripped and fell onto his shoulder on the concrete flooring. He suffered from broken bone in shoulder. The employee was hospitalized and treated for his injuries. ","Fracture, Broken Bones"
890,2/16/2017,"At approximately 3:45 p.m. on February 16, 2017, an employee was  chasing birds  from under netting. The employee was walking to next point in overshoes (rain), he tripped and fell to the ground fracturing his leg. It had been raining in the morning yet was not raining when the employee fell. The soil was wet.	 ","Fracture, Broken Bones"
891,2/16/2017,"At approximately 2:00 p.m. on February 16, 2017, an employee was cutting wooden panels with a table saw machine. The employee placed her right hand under the blade to remove debris when the saw was still running. 	She suffered partial amputation of her right index finger. The employee was hospitalized and treated for her injuries. ","Amputation, Crushing"
892,2/16/2017,"At approximately 2:30 p.m. on February 16, 2017, an employee was repairing a broken sheet of plastic at Extrusion line 1 when the employee fell. He reached out his left arm, and the arm was caught in between two rollers at the pull roll section of the line.   The pull roll section was not adequately guarded, which resulted in the employee's hospitalization with crushing injuries. ","Bruising, Contusion"
893,2/16/2017,"At approximately 2:00 p.m. on February 16, 2017, an employee was checking inventory in the back of a freezer truck. The employee suffered a heart attack unrelated to his job and died of natural causes. ",Serious Fall/Strike
894,2/16/2017,"At approximately 2:00 p.m. on February 16, 2017, an employee was feeding paper under the lower web or glue rollers of a Harlan Laminator. The employee's hair became entangled in the moving glue rollers while feeding paper under them to prepare for set up of the next job.  The employee suffered serious injury to her head such as hair removal off the top of her head. She was hospitalized and treated for her injuries.	 ",Laceration
895,2/16/2017,"At approximately 1:00 p.m. on February 16, 2017, an employee was walking within the grass and shrubs to repair water valves for the buildings. The employee slipped off the 10-inch wide retaining wall and fell 10 feet to the parking lot below. The employee suffered a broken hip, requiring surgery. The employee was hospitalized and treated for his injuries. ","Fracture, Broken Bones"
896,2/16/2017,"At 1:20 a.m. on February 16, 2017, an employee was moving some roll stock from a skid to a roll cart.  The paper roll weighed 1,100 lbs and measured 18 inches wide, had a 6 inch core and 50.5 inch diameter.  The employee's lower body was pinned to the ground when the roll rolled off of the pallet. The employee suffered a fracture to his lower right leg and was hospitalized. ","Fracture, Broken Bones"
897,2/15/2017,"At approximately 11:50 a.m. on February 15, 2017, an employee was replacing a transmission temperature sending unit on the forklift that was located in the warehouse in the loading dock area.  The employee was using a hydraulic floor jack that had a capacity of five tons, to raise the Yale Veracitor 50VX propane powered forklift, gross weight of 10,510 pounds, in the air so he could get underneath to do the part replacement. The forklift fell, crushing and killing the employee. ",Serious Fall/Strike
898,2/15/2017,"At 12:15 a.m. on February 15, 2017, an employee was running the potato peeler. The employee burned his ankle when the hot water overflowed and splashed the employee.  The employee was not hospitalized. ",Fire Burn
899,2/15/2017,"At approximately 10:00 a.m. on February 16, 2017, a tree trimming crew of five employees were removing tree debris and damage that was caused months prior during a hurricane. The skid steer operator was approximately 75 feet away removing tree debris from the area to the roadside. Coworker #1 was approximately 27 feet away climbing a tree to begin cutting, and Coworker #2 was approximately 10 feet in the air working out of the bucket truck cutting down a tree branch from a live oak that was partially hanging and partially caught in a brush of bamboo. The site foreman and an employee were standing back watching coworkers climbing the tree. The employee was being trained on how to climb trees.  After a phone call, the employee grabbed the STIHL MS461 chainsaw that was sitting on the ground next to him and began walking around the small waist high brush that was in front of him. As Coworker #1 was walking and drop starting the chain saw, the employee kept walking around the brush directly towards the skid steer operator's direction. The employee was walking toward the skid steer operator and passed underneath the area where Coworker #2 was working inside the bucket at approximately 10 feet in the air. Coworker #2 had just finished trimming the branches connected to the hanging branch from most of 17 feet long branch. The branch swung towards the employee and broke off and came crashing to the ground. The branch bounced up and struck the employee with the bottom side of the branch directly in the face and chest.  The branch crushed facial bones and the sternum of the employee. The employee suffered from blunt force trauma and later died at the hospital. 	 ","Fracture, Broken Bones"
900,2/15/2017,"At 12:30 p.m. on February 15, 2017, an employee was taking his lunch break and began to feel numbness and pressure on his chest.  No further details were provided in the initial accident report to detail the extent of injuries or the result thereof.  The employee was hospitalized. ",Serious Fall/Strike
901,2/15/2017,"At 11:00 a.m. on February 15, 2017, an employee walked to the bathroom to empty the equipment that was being used to vacuum water/stripper from the floor.  The employee slipped on the wet floor where some stripper had oozed under the door.  The employee suffered a broken hip and needed surgery to repair it.  The employee was hospitalized and treated for his injuries. ",Dislocation
902,2/15/2017,"At 11:30 a.m. on February 15, 2017, and employee was operating a Crown electric standup-/rider pallet truck, Model Number PR3020-60, Serial Number A219967, to move a pallet located in Warehouse Aisle 4/5.  The employee backed up too far and contacted the shelving unit Rack 5, Bay 5J1.  The employee's body was crushed between the guard of the pallet truck and the steel shelf. The guard of the pallet truck extended vertically 49.25 inches.  The horizontal shelf was located 54.25 inches above the floor.  The height difference allowed the pallet truck to slide under the shelf, pinning the employee between the pallet truck and the shelf.  The employee sustained injuries that included two broken ribs and a lacerated liver and was hospitalized. ","Fracture, Broken Bones"
903,2/15/2017,"At 11:00 a.m. on February 15, 2017, an employee was making a cut on a side railing on a table saw that was set up with dado blades. The employee placed his left hand above the railing and began to push it through the dado blades. The employee partially amputated one of his fingers from his left hand and lacerated the top surface of several fingers. The employee was hospitalized and treated for his injuries. ","Amputation, Crushing"
904,2/15/2017,"At 9:35 a.m. on February 15, 2017, an employee was assisting in the installation of concrete piping. As he was holding a 4 inch by 4 inch piece of wood against the concrete pipe, an excavator come into contact with the piping and the employee's right hand.  His right index finger was amputated, which he was hospitalized for treatment. ","Amputation, Crushing"
905,2/15/2017,"At 9:45 a.m. on February 15, 2017, an employee was cutting plastic wrap from double stack pallets and became pinned between two pallets.  The employee suffered bruised ribs and was hospitalized.  No additional information was available in the initial accident report. ","Fracture, Broken Bones"
906,2/15/2017,"At approximately 9:15 a.m.  on February 15, 2017, an employee was standing on an extension ladder and was trimming a large, dense hedge.  The top of the ladder was set against the side of the hedge and supported by the dense branches of the hedge.  A coworker was steadying the ladder and, as the employee moved to the other side, the ladder twisted and fell approximately 10 feet.  The employee suffered a fractured left wrist as a result of the fall and was admitted to UCSD Medical Center.  The employee was discharged on February 17, 2017. ","Fracture, Broken Bones"
907,2/15/2017,"At 9:38 a.m. on February 15, 2017, an employee was unloading porcelain slabs from a forklift at a loading dock with a coworker.  The employee was holding the slabs and the coworker turned the forklift.  As the forklift turned, five slabs, weighing 388 lbs each, fell from the pallet and struck the employee on his right leg. The employee suffered a fractured leg.  Emergency personnel were called and the employee was transported to Regional Medical Center of San Jose. The employee was hospitalized and treated for his injuries. ","Fracture, Broken Bones"
908,2/15/2017,"At 9:30 a.m. on February 15, 2017, fourteen employees were working on the wash floor of a bleach plant.  The hood was undergoing maintenance work of reapplying its caulking, when the employees were exposed to  chlorine dioxide emissions and experienced respiratory distress. However, no fatalities or hospitalizations resulted from the incident. ",Serious Fall/Strike
909,2/15/2017,"At 9:30 p.m. on February 15, 2017, an employee was cleaning a product jam and had his hand caught in a pinch point at the rollers.  The employee suffered several lacerations and bone fractures.  The employee was hospitalized and treated for his injuries. ",Laceration
910,2/15/2017,"At 8:00 a.m. on February 15, 2017, an employee was lifting some banded material with a coworker who was operating a forklift.  The employee was standing in front of the forklift, guiding the banded material resting on the forklift. The coworker tilted the forks downward slightly. The material slid from the fork and the band binding the material broke. The employee jumped out of the way and fell to the ground, breaking their hip.  The employee was hospitalized and treated for his injuries. ","Bruising, Contusion"
911,2/15/2017,"At 4:00 p.m. on February 15, 2017, an employee was notching pallet strings on a manually operated Trace Equipment Corporation Model EN10 manual single notching machine.  The employee amputated half of his forearm when it came into contact with the cutting head of the notching machine.  The employee was hospitalized and treated for his injuries. ","Amputation, Crushing"
912,2/15/2017,"At 4:00 p.m. on February 15, 2017, an employee was loosening a bolt and the excavator counterweight fell onto his right lower leg. The employee's leg was amputated as well as sustaining fractures to his arm, hips and vertebra. The employee was hospitalized and treated for his injuries. ","Fracture, Broken Bones"
913,2/15/2017,"At 3:30 p.m. on February 15, 2017, an employee was working inside of an empty jet fuel tank that was under repair. After working from a scaffold system to take radiographic X-ray shots of welds on the side of the tank, he accessed an extension ladder. As he descended, the ladder shifted to the right. However, he remained attached to the scaffold by a rope tie. The employee fell from the ladder and struck the bottom of the tank, sustaining fractures to his neck of femur. The employee was hospitalized, where he received treatment for his injuries. ","Fracture, Broken Bones"
914,2/15/2017,"At 2:45 p.m. on February 15, 2017, an employee was leaving a meeting at the Marriot and crossed the street to the parking garage.  The employee slipped on the snow and ice covered roadway and fractured their right hip.  The employee was hospitalized and treated for his injuries. ","Fracture, Broken Bones"
915,2/15/2017,"At 2:00 p.m. at February 15, 2017, an employee was sanding on the second floor of a building when he fell through its wood floors. The employee struck the ground below, injuring his head.  He was taken to a nearby hospital, were we was treated for his injury. ","Fracture, Broken Bones"
916,2/15/2017,"At approximately 1:15 p.m. on February 15, 2017, an employee opened the carbon dioxide cylinder valve to transfer gas into a small five liter stainless vessel in order to check for leaks. The employee attempted to tighten the brass nut on the vessel end cap when the nut stripped and it exploded, showering the employee with flying metal pieces. The employee was struck in the face and received multiple injuries to include a fracture nose, two fractured eye sockets, and multiple lacerations.  The employee was hospitalized and treated for his injuries. ",Laceration
917,2/15/2017,"At 1:40 p.m. on February 15, 2017, an employee was operating an electrical capstan.  The employee caught one of his fingers between the 5/16 wire cable and the spool, resulting in amputating the fingertip.  The employee was not hospitalized. ","Amputation, Crushing"
918,2/15/2017,"At 1:20 p.m. on February 15, 2017, several employees were using an overhead crane to unload a railroad track section of rails.  The employees were knocked to the ground when a rail section fell.  One employee sustained a collapsed lung.  Two employees were hospitalized and treated for their injuries. ","Fracture, Broken Bones"
919,2/14/2017,"On February 14, 2017, Employee #1 was being lowered in a harness that was attached to the load line of a crane. The employee fell 60 feet to the gravel road below and was killed. ",Serious Fall/Strike
920,2/14/2017,"At 12:45 p.m. on February 14, 2017, Employee #1 was checking the manifest of items received. Two or three panels fell over and struck his head, pinning him between the panels and the side of the truck. Employee #1's skull was crushed and he was killed. ",Serious Fall/Strike
921,2/14/2017,"At 12:00 p.m. on February 14, 2017, Employee #1 was standing on an extension ladder, preparing the attic space to blow in cellulose insulation. The employee fell off of the ladder and down to the basement steps below. Employee #1 sustained bruised ribs and abdomen, as well as a mild concussion.He was hospitalized for his injuries. for his injuries.",Head Trauma
922,2/14/2017,"At 12:00 p.m. on February 14, 2017, an employee was installing a roof over two container structures.He fell from the roof, striking the ground that was approximately 9 feet below.  The employee sustained a fractures to his vertebrae and ribs, which he was hospitalized for. ribs, which he was hospitalized for.","Fracture, Broken Bones"
923,2/14/2017,"At approximately 12:00 a.m. on February 14, 2017, Employee #1 was assisting a millwright in tracking a drive belt. While tracking the drive belt, Employee #1 placed his hand near the drive belt system. The drive systems moving parts and nip point caught his hand, causing an unspecified amputation. Employee #1 received medical treatment on his amputation. ","Amputation, Crushing"
924,2/14/2017,"At 11:00 p.m. on February 14, 2017, Employee #1 was packing tubes in a box from the moving plastic cleated conveyor on Line 21 in the Packaging Department. The employee's work glove became caught on the moving conveyor. His hand came into contact with the static plate, severing the top of his right index finger. ","Amputation, Crushing"
925,2/14/2017,"At 11:45 a.m. on February 14, 2017, an employee was engaged in deconstruction related activities on the fourth level of a five story building.  Several coworkers removed some maple flooring from the wooden subflooring and the employee fell through the subflooring when it collapsed.  The employee fell approximately 40 feet to the ground and was killed. ",Head Trauma
926,2/14/2017,"At 11:45 a.m. on February 14, 2017, an employee was riding on an electric pallet truck.  The employee made a turn and struck his left leg with the handle/steering bar of the pallet truck.  The employee suffered a contusion to his leg but was not hospitalized. ","Bruising, Contusion"
927,2/14/2017,"At 11:30 a.m. on February 14, 2017, Employee #1 and a co-worker were installing grated steel decking on a maintenance platform with unguarded sides, located in the load out bay of a feed mill facility that the contractor was building.  As Employee #1 walked toward the end of the platform, he fell 24 feet onto a steel scale platform below the platform that he was working on. The employee sustained three broken ribs, one of which punctured his lung. Employee #1 and the co-worker were both wearing body harnesses with six foot lanyards, but they had not tied off. ",Serious Fall/Strike
928,2/14/2017,"At 1:00 p.m. on February 14, 2017, an employee was installing prefabricated metal formwork for cast-in place concrete construction. As he climbed about 5.33 feet of the vertical formwork wall, where he fell and sustained bruising on his back. The employee was hospitalized and treated for his injury. ","Bruising, Contusion"
929,2/14/2017,"At 10:05 a.m. on February 14, 2017, Employee #1, a steel erection employee, was installing metal decking sheets for the new construction roof. The employee's foot slipped on a bar joist (roof truss), causing him to lose his balance and fall to the concrete floor below. The employee sustained fractures to his ribs and vertebra and a laceration to his liver.He was hospitalized. He was hospitalized.",Laceration
930,2/14/2017,"At 10:00 p.m. on February 14, 2017, an employee was aligning some copper tubing into machine.  The employee's hand was at the pinch point when the Schumag Number 2130  hydraulic clamp closed.  The employee amputated his left thumb at its first joint and crushed the remaining fingers on their left hand, for which he was hospitalized. ","Amputation, Crushing"
931,2/14/2017,"At 10:00 a.m. on February 14, 2017, Employee #1 was standing in a bucket truck basket, trying to push a speaker bracket up a light pole. The bucket truck moved unexpectedly with no one at the controls. The employee's hand and forearm were caught between the bucket truck basket, the speaker bracket and the light pole, causing fractures to his hand and forearm. The employee was hospitalized overnight for his injuries. ","Fracture, Broken Bones"
932,2/14/2017,"At 9:45 a.m. on February 14, 2017, Employee #1 was installing insulation on a two-story, private residence. The employee was standing half-way up a five foot stepladder that was set up on top of a rolling scaffold, nine feet tall. Employee #1 was patching the holes that had been drilled into the exterior walls to apply the insulating material into the house. The company owner was working on the other side of the house. As the employee reached overhead, the ladder and scaffold suddenly fell out from under him. Employee #1 fell 10 feet off the ladder and onto the ground below. The employee sustained multiple fractured ribs, a fractured left ankle, and a punctured lung.  He was admitted to a local hospital and released on February 18, 2017. ",Serious Fall/Strike
933,2/14/2017,"At 8:45 a.m. on February 14, 2017, Employee #1 was walking through the jobsite. There was a bulldozer that was backing up. The employee was struck by the bulldozer and his right leg was crushed and his hip was dislocated. He was hospitalized. ","Fracture, Broken Bones"
934,2/14/2017,"At 7:45 a.m. on February 14, 2017, an employee was operating a Raymond Man Lift (Cherry Picker).  The employee was not trained or authorized to operate the Lift.  The employee made several sporadic movements and drove the lift around the warehouse floor before raising the lift approximately five feet off the floor and stepped backwards off the platform.  The employee flipped over a fork and landed face down on the concrete floor.  The employee suffered fractures to their face and had a concussion.  The employee was hospitalized and treated for his injuries. ",Head Trauma
935,2/14/2017,"At approximately 7:05 a.m. on February 14, 2017, an employee subcontractor was walking across the parking lot. The employee was struck by a jockey truck that was driven by the host employer. The employee suffered broken bones and crushing injuries and was killed. ",Serious Fall/Strike
936,2/14/2017,"At 7:05 on February 14, 2017, and employee was walking towards the yard office.  The employee was struck and killed by a jockey truck. ",Serious Fall/Strike
937,2/14/2017,"At 6:15 p.m. on February 14, 2017, an employee was feeding a new roll of steel into Line Number 3 mill. The employee jogged the mill and his glove got caught inside the roller, pulling his finger into the roller. The employee amputated his left pinky fingertip but was not hospitalized. ","Amputation, Crushing"
938,2/14/2017,"At 5:30 p.m. on February 14, 2017, an employee noticed a piece of metal fall from a pipe support rail system.  The employee jumped over a guardrail and landed on top of a rolling table and tried to pick up the metal piece.  The employee suffered second and third degree burns from the hot pipes.  The employee was hospitalized and treated for burns. ",Fire Burn
939,2/14/2017,"At 5:30 p.m. on February 14, 2017, an employee was assisting a coworker with a forklift.  The coworker didn't see the employee and ran over his foot.  The employee suffered a broken leg and foot for which he was hospitalized. ",Serious Fall/Strike
940,2/14/2017,"At approximately 3:00 a.m. on February 14, 2017, Employee #1 was cleaning the mixing auger of a machine. Employee #1 stuck his hand into a drain port on the machine and the rotating auger amputated three fingertips. Employee #1 was transported to a medical center, where he underwent surgical procedures and received addition treatment, and was then hospitalized. ","Amputation, Crushing"
941,2/14/2017,"At 3:00 p.m. on February 14, 2017, an employee was working at a construction site of a four-story building. He was employed by a framing contractor who was serving as a sub-contractor at the site. The employee was working with his supervisor to install plumbing in a column that was located on the third floor of the building under construction. As the employee was looking for a brace, he walked over a sheet of plywood that was covering a 12 foot by 12 foot opening and fell approximately 20 feet to the level below. The employee sustained fractures to his pelvis, lower back, and left wrist, which he was hospitalized and underwent surgery. The incident investigation revealed that the sheet of plywood was covering the opening intended for a stairway shaft where a support beneath was previously removed the shifted before that of the employee. ","Fracture, Broken Bones"
942,2/14/2017,"At 3:50 a.m. on February 14, 2017, six employees smelled sulfur while working a basement clean room at Lam Industries.  All six employees were transported to Meridian Park Hospital and treated for respiratory irritation issues and released.  A Hazamat team was requested. ",Serious Fall/Strike
943,2/14/2017,"At approximately 2:00 a.m. on February 14, 2017, Employee #1 was cleaning 50/50 trim extruders on its lower side. The equipment was locked out using supervisor control. The control system involved a supervisor locking out the auger and then the employee locking out the supervisors controls, which created a check and balance lockout system. During the cleaning process, Employee #1 requested the equipment be unlocked to run briefly. He removed his lock and his supervisor removed the lock under his control. As his supervisor turned on the equipment, Employee #1 stuck his finger into a drain port on the auger and amputated his right index finger. Employee #1 received medical treatment on his amputated finger. ","Amputation, Crushing"
944,2/14/2017,"At approximately 1:30 p.m. on February 14, 2017, an employee was mowing the edge of a pond. He was mowing too close to the pond edge or bank, the mower flipped sideways and landed on top of the employee. The employee landed on a dry area of the pond, possible low water level, and the mower on top of him. A coworker found the employee with half of the employee's face and one arm in the water, the rest of the body was on a dry area. The medical examiner listed the cause of death as ethanol and multiple drug intoxication. ",Head Trauma
945,2/13/2017,"At approximately 11:10 a.m. on February 13, 2017, Employee #1 was setting up a SPX Rotary Positive Displacement Pump and its hoses to transfer wine from barrels to stainless steel tank. He saw visible contaminant on a 3 in. port of the pump. Employee #1 decided to use a rag to wipe the contamination from the surface as the pump was running. His right index finger entered the pump housing and was amputated by one of pumps rotating rotors. Employee #1 was transported to a medical center, where he received surgery and additional treatment on the finger amputation and was then hospitalized. ","Amputation, Crushing"
946,2/13/2017,"At approximately 11:00 a.m. on February 13, 2017, Employee #1 was conducting store-associated tasks in a paint retail store. While she was working, she stepped on something sharp and sustained a puncture wound in her right foot. She stated that she might have contracted the methicillin resistance staphylococcus aureus (MRSA) in the wound while in the store. Employee #1 was transported to a medical center, where she received treatment for the MRSA infected wound and was then released. Another employee also has reported about contracting MRSA in a wound on his forearm while working at the facility. ",Serious Fall/Strike
947,2/13/2017,"At approximately 11:30 a.m. on February 13, 2017, Employee #1 was operating a roller bender machine and preparing to make 0.75 in. bow bends in approximately 1 in. wide by 1 in. tall by 70 in. length of aluminum square tube stock for the manufacturing of trailer. He was untrained on the machinery. Employee #1 placed the aluminum stock into an unguarded in-running roller wheels (point of operation) and pinched his left index finger between the aluminum stock and roller bender wheels. His left index fingertip was degloved with no fractures or amputation of the finger. Employee #1 received treatment for the fingertip injury onsite and was not transferred to a medical center. ","Bruising, Contusion"
948,2/13/2017,"At 10:00 a.m. on February 13, 2017, Employee #1 was standing on a scaffold, ten feet off the ground, measuring a piece of metal that he was to cut and place on the roof. A gust of wind blew the piece of metal into Employee #1, knocking him off of the scaffold. The employee fell to the concrete floor below and suffered a fractured skull and vertebrae. He was hospitalized for his injuries. ","Bruising, Contusion"
949,2/13/2017,"At approximately 10:00 a.m. on February 13, 2017, Employee #1 was inside a railcar repair facility and working in its car shop. He was assisting a coworker with the preparation and planned repair of top hatches of a hopper railcar. A fixed railcar ladder was used to ascend and descend from the top of the car. Fall protection system was not used. Employee #1 climbed down the fixed ladder with nothing in hand, lost his footing, and fell approximately 6 ft. He struck both heels on the concrete shop floor, resulting in two bilateral heel fractures. Employee #1 was transported to a medical center, where he received treatment and was then hospitalized. ","Fracture, Broken Bones"
950,2/13/2017,"At approximately 10:15 a.m. on February 13, 2017, Employee #1 was operating a brake press machine, when his finger was caught in the running machine. The machine amputated one of his fingers. Employee #1 was transported to a medical center, where he received treatment and was then hospitalized. ","Amputation, Crushing"
